gene_symbol,drug_name,interaction_type,ensembl_id
ALK,HESPERADIN,inhibitor,ENSG00000171094
RET,LOXO-292,,ENSG00000165731
TUBB4B,CABAZITAXEL,inhibitor,ENSG00000188229
CCL17,TACROLIMUS,,ENSG00000102970
SQLE,AMIODARONE,,ENSG00000104549
LPO,ASCORBIC ACID,,ENSG00000167419
FASLG,ASUNERCEPT,binder,ENSG00000117560
FGFR1,DOVITINIB,,ENSG00000077782
NR3C1,BETAMETHASONE,agonist,ENSG00000113580
FGFR1,FIIN-1,,ENSG00000077782
TUBB4B,NSC-751382,,ENSG00000188229
KCNQ1,tacrolimus,,ENSG00000053918
TUBB2A,VERUBULIN,negative modulator,ENSG00000137267
TUBA3E,RG-7841,inhibitor,ENSG00000152086
SLC25A5,BUTYRATE,,ENSG00000005022
TUBB2A,CABAZITAXEL,inhibitor,ENSG00000137267
MTHFR,FLUOROURACIL,,ENSG00000177000
KCNQ1,AMIFAMPRIDINE PHOSPHATE,blocker,ENSG00000053918
MITF,GNF-PF-4867,,ENSG00000187098
RET,TAE-684,,ENSG00000165731
RET,Vandetanib,,ENSG00000165731
CRHR1,antidepressants,,ENSG00000120088
MME,DAGLUTRIL,inhibitor,ENSG00000196549
MEN1,SINENSETIN,,ENSG00000133895
GRIN2C,DELUCEMINE,inhibitor,ENSG00000161509
SPSB2,PHENYLTHIAZOL-2-AMINE,,ENSG00000111671
TUBA3E,VERUBULIN,negative modulator,ENSG00000152086
HGF,Trastuzumab,,ENSG00000019991
TUBB4B,NSC-753575,,ENSG00000188229
NQO1,ITRACONAZOLE,,ENSG00000181019
IL17A,REMTOLUMAB,inhibitor,ENSG00000112115
PPARA,INDEGLITAZAR,agonist,ENSG00000186951
MAP2K4,MEK162,inhibitor,ENSG00000065559
ALK,tremelimumab,,ENSG00000171094
GADD45A,DOXORUBICIN,,ENSG00000116717
IRAK4,LINIFANIB,,ENSG00000198001
TUBA3E,VINFLUNINE,inhibitor,ENSG00000152086
STK11,Olaparib,,ENSG00000118046
MEN1,GNF-PF-4029,,ENSG00000133895
KCND3,TEDISAMIL,blocker,ENSG00000171385
MEN1,CETRIMONIUM BROMIDE,,ENSG00000133895
TUBB4B,TISOTUMAB VEDOTIN,inhibitor,ENSG00000188229
RET,CABOZANTINIB,inhibitor,ENSG00000165731
NR3C1,CORTISONE ACETATE,agonist,ENSG00000113580
IL17A,opioids,,ENSG00000112115
GADD45A,TROGLITAZONE,,ENSG00000116717
