ensembl_id,disease_efo_id,association_score
ENSG00000171049,EFO_1001248,0.0014800995840213117
ENSG00000117560,MONDO_0004986,0.05410673631755386
ENSG00000154727,EFO_0003918,0.0626931009225257
ENSG00000075043,MONDO_0019306,0.3418104976849216
ENSG00000171094,EFO_0004243,0.019532573827307092
ENSG00000110944,EFO_0007485,0.010552287756525273
ENSG00000186951,MONDO_0011382,0.0014800995840213117
ENSG00000110944,MONDO_0044721,0.05651883603217379
ENSG00000187764,EFO_0009765,0.04952573401207199
ENSG00000144908,Orphanet_1473,0.038580645781995514
ENSG00000110887,EFO_0001422,0.004810323648069262
ENSG00000163930,MONDO_0008315,0.08467987133626752
ENSG00000181092,Orphanet_602,0.052895264453348294
ENSG00000167258,OBA_0003277,0.3106292144882541
ENSG00000170608,MONDO_0024477,0.0014800995840213117
ENSG00000161547,EFO_1001968,0.2775186720039959
ENSG00000175591,EFO_1000018,0.0020145799893623406
ENSG00000177000,EFO_0004211,0.012797789524887158
ENSG00000134852,EFO_0007330,0.0014800995840213117
ENSG00000159899,EFO_0004995,0.44986728513577395
ENSG00000110245,MONDO_0001085,0.0014800995840213117
ENSG00000081052,EFO_0004530,0.03516224893282108
ENSG00000085224,EFO_0000504,0.2775186720039959
ENSG00000070915,MONDO_0009724,0.04053992760634372
ENSG00000065559,EFO_0020865,0.16135487550936126
ENSG00000081052,MONDO_0010015,0.034841544207861674
ENSG00000081052,HP_0001873,0.14800995840213113
ENSG00000081052,MONDO_0009061,0.0072349460687305585
ENSG00000187764,MONDO_0016064,0.024185514492421296
ENSG00000206530,MONDO_0957594,0.09035000670455426
ENSG00000163501,EFO_0003914,0.002220149376031967
ENSG00000019991,EFO_0009085,0.0029601991680426234
ENSG00000171094,EFO_0000771,0.007400497920106558
ENSG00000165731,MONDO_0021156,0.0014800995840213117
ENSG00000116678,MONDO_0013588,0.03598122088755808
ENSG00000136826,MONDO_0017795,0.011100746880159837
ENSG00000163501,EFO_0000571,0.007770522816111886
ENSG00000110245,EFO_0022237,0.5451721353712227
ENSG00000110887,EFO_0008572,0.0020145799893623406
ENSG00000074416,MONDO_0010383,0.004070273856058606
ENSG00000113580,EFO_0000717,0.09403257669735395
ENSG00000145216,OBA_2040561,0.08528477175885832
ENSG00000211459,EFO_0003918,0.02776728490439981
ENSG00000132681,MONDO_0032845,0.09128750589246107
ENSG00000113580,EFO_0010134,0.0018501244800266394
ENSG00000114013,EFO_0009130,0.009970115253476889
ENSG00000110887,EFO_1000821,0.0014800995840213117
ENSG00000100453,MONDO_0008006,0.00432723558939564
ENSG00000134852,EFO_1001050,0.0029601991680426234
ENSG00000168785,OBA_2042538,0.2632154541439839
ENSG00000169710,EFO_0000365,0.0027751867200399593
ENSG00000114013,EFO_0006738,0.003700248960053279
ENSG00000111752,EFO_0002430,0.0018501244800266394
ENSG00000017427,EFO_1001928,0.009620647296138525
ENSG00000110245,EFO_0022317,0.5095545690742908
ENSG00000053918,EFO_0000232,0.004440298752063934
ENSG00000165731,EFO_0003032,0.2035136928029303
ENSG00000165731,EFO_0005701,0.008880597504127868
ENSG00000137267,MONDO_0700044,0.40702738560586066
ENSG00000100721,EFO_1001051,0.002220149376031967
ENSG00000170558,MONDO_0017795,0.017460652564944744
ENSG00000075043,EFO_1001901,0.25901742720372944
ENSG00000167258,EFO_0006544,0.2780737093480039
ENSG00000113580,EFO_0003767,0.11438637546480564
ENSG00000132671,MONDO_0004286,0.0014800995840213117
ENSG00000159899,MONDO_0016780,0.032539989354708525
ENSG00000124767,MONDO_0021148,0.003700248960053279
ENSG00000177272,MONDO_0002334,0.004810323648069262
ENSG00000198001,EFO_0007874,0.12709406647484242
ENSG00000085117,MONDO_0013934,0.033087626200796416
ENSG00000100387,MONDO_0002974,0.00849001566945558
ENSG00000172482,MONDO_0009216,0.03885261408055943
ENSG00000029559,EFO_0007218,0.011100746880159837
ENSG00000152086,EFO_0002939,0.07400497920106557
ENSG00000187098,EFO_0000549,0.004440298752063934
ENSG00000100453,MONDO_0007254,0.07393901427232613
ENSG00000196549,HP_0009726,0.029150519587435537
ENSG00000116678,MONDO_0023161,0.008880597504127868
ENSG00000145216,MONDO_0004643,0.0030321484533769923
ENSG00000109670,MONDO_0018630,0.013320896256191803
ENSG00000071575,EFO_0005423,0.1876204095308425
ENSG00000017427,MONDO_0008733,0.004440298752063934
ENSG00000187098,Orphanet_75376,0.07240767131783625
ENSG00000117984,EFO_1000158,0.007400497920106558
ENSG00000187098,MONDO_0002691,0.011013379890825244
ENSG00000026103,MONDO_0002207,0.0018501244800266394
ENSG00000074416,MONDO_0005041,0.012580846464181148
ENSG00000110944,EFO_1001999,0.012580846464181146
ENSG00000116981,EFO_0000537,0.002220149376031967
ENSG00000159899,MONDO_0007496,0.030475250434998803
ENSG00000186951,MONDO_0007809,0.05554073689039971
ENSG00000162692,EFO_1002049,0.0027751867200399593
ENSG00000112116,HP_0002783,0.0014800995840213117
ENSG00000177000,EFO_0010702,0.012580846464181148
ENSG00000171094,EFO_0003918,0.00795553526411455
ENSG00000102466,Orphanet_199348,0.03291001425071386
ENSG00000196549,MONDO_0021251,0.002220149376031967
ENSG00000017427,EFO_1001109,0.0140526491502857
ENSG00000116678,EFO_0001074,0.3562800411294456
ENSG00000109390,MONDO_0018875,0.03700248960053278
