subject,predicate,object,subject_category,object_category,knowledge_source,source_relationship
DRUG_NAME:ALEGLITAZAR,biolink:positively_regulates,NCBIGene:5465,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:carvedilol,biolink:interacts_with,NCBIGene:5465,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:NOCODAZOLE,biolink:interacts_with,NCBIGene:112714,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:rosuvastatin,biolink:interacts_with,NCBIGene:3171,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:CEPHALOCHROMIN,biolink:interacts_with,NCBIGene:26013,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ME-344,biolink:negatively_regulates,NCBIGene:4717,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:CYCLOSPORINE,biolink:interacts_with,NCBIGene:7412,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:AEG40826,biolink:negatively_regulates,NCBIGene:331,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:INFLIXIMAB,biolink:interacts_with,NCBIGene:6361,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:simvastatin,biolink:interacts_with,NCBIGene:3953,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:PIRENOXINE,biolink:interacts_with,NCBIGene:4221,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:DNDI1416969,biolink:interacts_with,NCBIGene:4286,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:methotrexate,biolink:interacts_with,NCBIGene:55556,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:LARGAZOLE,biolink:interacts_with,NCBIGene:112714,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:4-(PHENYLCARBAMOYL)BENZYLNITRATE,biolink:interacts_with,NCBIGene:112714,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:AMIFAMPRIDINE PHOSPHATE,biolink:negatively_regulates,NCBIGene:3785,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:Temsirolimus,biolink:interacts_with,NCBIGene:55294,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:NEIHULIZUMAB,biolink:negatively_regulates,NCBIGene:6404,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:methylphenidate,biolink:interacts_with,NCBIGene:84727,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:mycophenolic acid,biolink:interacts_with,NCBIGene:54577,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:SECUKINUMAB,biolink:negatively_regulates,NCBIGene:3605,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:GNF-PF-3951,biolink:interacts_with,NCBIGene:4286,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:mycophenolic acid,biolink:interacts_with,NCBIGene:3615,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:COFORMYCIN,biolink:negatively_regulates,NCBIGene:100,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:CYCLOHEXIMIDE,biolink:negatively_regulates,NCBIGene:6167,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:RETINOIDS,biolink:interacts_with,NCBIGene:8204,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:sorafenib,biolink:interacts_with,NCBIGene:5597,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:DENUFOSOL TETRASODIUM,biolink:positively_regulates,NCBIGene:5029,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:IL-17,biolink:interacts_with,NCBIGene:112744,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:PROTEASOME INHIBITOR,biolink:interacts_with,NCBIGene:331,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:NSC-645827,biolink:interacts_with,NCBIGene:4286,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ATALUREN,biolink:regulates,NCBIGene:6167,biolink:ChemicalEntity,biolink:Gene,DGIdb,modulator
DRUG_NAME:VUNAKIZUMAB,biolink:negatively_regulates,NCBIGene:3605,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:CROLIBULIN,biolink:negatively_regulates,NCBIGene:7280,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:PERAKIZUMAB,biolink:negatively_regulates,NCBIGene:3605,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:NIFUROXAZIDE,biolink:interacts_with,NCBIGene:4286,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:VALPROIC ACID,biolink:interacts_with,NCBIGene:8314,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:HYDROCORTISONE,biolink:interacts_with,NCBIGene:3038,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:givosiran,biolink:interacts_with,NCBIGene:3145,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ANTIMALARIALS,biolink:interacts_with,NCBIGene:100,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:NERISPIRDINE,biolink:negatively_regulates,NCBIGene:3785,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:ESKETAMINE HYDROCHLORIDE,biolink:negatively_regulates,NCBIGene:2905,biolink:ChemicalEntity,biolink:Gene,DGIdb,negative modulator
DRUG_NAME:TRIMETHYL-[3-(TETRADECANE-1-SULFONYLAMINO)-PROPYL]-AMMONIUM IODIDE,biolink:interacts_with,NCBIGene:388,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:VITAMIN K,biolink:interacts_with,NCBIGene:355,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:MK2206,biolink:interacts_with,NCBIGene:6794,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:THALIDOMIDE,biolink:interacts_with,NCBIGene:3082,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:DOLASETRON,biolink:interacts_with,NCBIGene:3784,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:prednisolone,biolink:interacts_with,NCBIGene:4524,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:fluoxetine,biolink:interacts_with,NCBIGene:1394,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:TISOTUMAB VEDOTIN,biolink:negatively_regulates,NCBIGene:7280,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:acetaminophen,biolink:interacts_with,NCBIGene:54577,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
