id,prefix,previous_name,label,label_ontology,obsolete_term,matched,current_category,suggested_category
MONDO:0700044,MONDO,MONDO:0700044,obsolete TUBB2A-related tubulinopathy,mondo,True,True,biolink:Disease,
EFO:0007874,EFO,EFO:0007874,gut microbiome measurement,efo,False,True,biolink:Disease,
HP:0009726,HP,HP:0009726,Renal neoplasm,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0002783,HP,HP:0002783,Recurrent lower respiratory tract infections,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0010702,EFO,EFO:0010702,opioid use disorder,efo,False,True,biolink:Disease,
OBA:VT0001253,OBA,OBA:VT0001253,body height,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0004517,EFO,EFO:0004517,arterial stiffness measurement,efo,False,True,biolink:Disease,
EFO:0002503,EFO,EFO:0002503,cardiac hypertrophy,efo,False,True,biolink:Disease,
EFO:0022254,EFO,EFO:0022254,cholesteryl esters to total lipids in small HDL percentage,efo,False,True,biolink:Disease,
EFO:0007986,EFO,EFO:0007986,reticulocyte count,efo,False,True,biolink:Disease,
HP:0003074,HP,HP:0003074,Hyperglycemia,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0005241,EFO,EFO:0005241,employment status,efo,False,True,biolink:Disease,
HP:0003073,HP,HP:0003073,Hypoalbuminemia,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0011675,HP,HP:0011675,Arrhythmia,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0009860,EFO,EFO:0009860,chromosomal aberration frequency,efo,False,True,biolink:Disease,
EFO:0004468,EFO,EFO:0004468,glucose measurement,efo,False,True,biolink:Disease,
EFO:0022008,EFO,EFO:0022008,polyUbiquitin K63-linked measurement,efo,False,True,biolink:Disease,
OBA:VT0010046,OBA,OBA:VT0010046,fatty acid amount,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0006536,HP,HP:0006536,Airway obstruction,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0001397,HP,HP:0001397,Hepatic steatosis,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0801819,EFO,EFO:0801819,n-acetyltransferase 14 measurement,efo,False,True,biolink:Disease,
EFO:0000544,EFO,EFO:0000544,infection,efo,False,True,biolink:Disease,
OBA:2040646,OBA,OBA:2040646,level of arfaptin-1 in blood serum,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0001952,HP,HP:0001952,Glucose intolerance,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0600064,EFO,EFO:0600064,serum lipopolysaccharide activity,efo,False,True,biolink:Disease,
EFO:0004541,EFO,EFO:0004541,HbA1c measurement,efo,False,True,biolink:Disease,
EFO:0007800,EFO,EFO:0007800,body fat percentage,efo,False,True,biolink:Disease,
EFO:0009946,EFO,EFO:0009946,low density lipoprotein triglyceride measurement,efo,False,True,biolink:Disease,
EFO:0010968,EFO,EFO:0010968,phosphate measurement,efo,False,True,biolink:Disease,
HP:0010992,HP,HP:0010992,Stress urinary incontinence,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:1001436,EFO,EFO:1001436,thyroid nodule,efo,False,True,biolink:Disease,
EFO:0000556,EFO,EFO:0000556,ischemia,efo,False,True,biolink:Disease,
EFO:0011052,EFO,EFO:0011052,hepatotoxicity,efo,False,True,biolink:Disease,
EFO:0803548,EFO,EFO:0803548,neutrophil measurement,efo,False,True,biolink:Disease,
HP:0000356,HP,HP:0000356,Abnormality of the outer ear,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0001063,EFO,EFO:0001063,deafness,efo,False,True,biolink:Disease,
OBA:2050096,OBA,OBA:2050096,serum creatinine amount,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0009589,EFO,EFO:0009589,worry measurement,efo,False,True,biolink:Disease,
OBA:2041840,OBA,OBA:2041840,level of hemoglobin subunit delta in blood serum,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0004528,EFO,EFO:0004528,mean corpuscular hemoglobin concentration,efo,False,True,biolink:Disease,
