source_id,mondo_id,prefix,normalized,status
MONDO:0004892,MONDO:0004892,MONDO,False,already_mondo
EFO:0007800,,EFO,False,unmapped
MONDO:0016761,MONDO:0016761,MONDO,False,already_mondo
MONDO:0014810,MONDO:0014810,MONDO,False,already_mondo
EFO:0000685,MONDO:0008383,EFO,True,mapped
EFO:0009946,,EFO,False,unmapped
MONDO:0003036,MONDO:0003036,MONDO,False,already_mondo
MONDO:0002898,MONDO:0002898,MONDO,False,already_mondo
EFO:0010968,,EFO,False,unmapped
EFO:0005922,MONDO:0005580,EFO,True,mapped
EFO:0000464,MONDO:0004849,EFO,True,mapped
HP:0010992,,HP,False,skipped_prefix
EFO:1001436,,EFO,False,unmapped
EFO:1001249,MONDO:0007027,EFO,True,mapped
EFO:0001358,MONDO:0005146,EFO,True,mapped
MONDO:0018177,MONDO:0018177,MONDO,False,already_mondo
EFO:0000556,,EFO,False,unmapped
EFO:1001434,MONDO:0100010,EFO,True,mapped
EFO:0011052,,EFO,False,unmapped
EFO:0000676,MONDO:0005083,EFO,True,mapped
EFO:0000763,MONDO:0005108,EFO,True,mapped
MONDO:0008233,MONDO:0008233,MONDO,False,already_mondo
MONDO:0009830,MONDO:0009830,MONDO,False,already_mondo
EFO:0803548,,EFO,False,unmapped
MONDO:0017967,MONDO:0017967,MONDO,False,already_mondo
EFO:0000319,MONDO:0004995,EFO,True,mapped
MONDO:0019524,MONDO:0019524,MONDO,False,already_mondo
EFO:0003898,MONDO:0005306,EFO,True,mapped
HP:0000356,,HP,False,skipped_prefix
Orphanet:276399,MONDO:0007681,Orphanet,True,mapped
MONDO:0020546,MONDO:0020546,MONDO,False,already_mondo
EFO:1000203,MONDO:0006170,EFO,True,mapped
MONDO:0019402,MONDO:0019402,MONDO,False,already_mondo
MONDO:0010463,MONDO:0010463,MONDO,False,already_mondo
EFO:0005772,MONDO:0005559,EFO,True,mapped
MONDO:0005147,MONDO:0005147,MONDO,False,already_mondo
MONDO:0007700,MONDO:0007700,MONDO,False,already_mondo
EFO:0001063,,EFO,False,unmapped
EFO:0007231,MONDO:0015484,EFO,True,mapped
OBA:2050096,,OBA,False,skipped_prefix
EFO:1000233,MONDO:0006192,EFO,True,mapped
EFO:1000796,MONDO:0006639,EFO,True,mapped
EFO:0009589,,EFO,False,unmapped
EFO:0000339,MONDO:0011996,EFO,True,mapped
MONDO:0005148,MONDO:0005148,MONDO,False,already_mondo
EFO:1001857,MONDO:0017991,EFO,True,mapped
EFO:0003095,MONDO:0013209,EFO,True,mapped
MONDO:0011456,MONDO:0011456,MONDO,False,already_mondo
MONDO:0003916,MONDO:0003916,MONDO,False,already_mondo
MONDO:0015701,MONDO:0015701,MONDO,False,already_mondo
MONDO:0004580,MONDO:0004580,MONDO,False,already_mondo
EFO:0000313,MONDO:0004993,EFO,True,mapped
MONDO:0016107,MONDO:0016107,MONDO,False,already_mondo
EFO:0007141,MONDO:0005642,EFO,True,mapped
MONDO:0100574,MONDO:0100574,MONDO,False,already_mondo
EFO:0000432,MONDO:0005023,EFO,True,mapped
OBA:2041840,,OBA,False,skipped_prefix
EFO:0006352,MONDO:0005595,EFO,True,mapped
EFO:0004528,,EFO,False,unmapped
EFO:1000044,MONDO:0006047,EFO,True,mapped
MONDO:0003825,MONDO:0003825,MONDO,False,already_mondo
EFO:1001034,MONDO:0006849,EFO,True,mapped
HP:0002135,,HP,False,skipped_prefix
EFO:0004239,MONDO:0005366,EFO,True,mapped
EFO:1000652,MONDO:0006515,EFO,True,mapped
Orphanet:597,MONDO:0007294,Orphanet,True,mapped
MONDO:0012209,MONDO:0012209,MONDO,False,already_mondo
EFO:0008527,,EFO,False,unmapped
MONDO:0012450,MONDO:0012450,MONDO,False,already_mondo
MONDO:0013284,MONDO:0013284,MONDO,False,already_mondo
Orphanet:79478,MONDO:0012220,Orphanet,True,mapped
MONDO:0013427,MONDO:0013427,MONDO,False,already_mondo
EFO:0022236,,EFO,False,unmapped
EFO:0000677,MONDO:0005084,EFO,True,mapped
EFO:1000359,MONDO:0009831,EFO,True,mapped
OBA:2045223,,OBA,False,skipped_prefix
EFO:1001951,MONDO:0024331,EFO,True,mapped
MONDO:0009619,MONDO:0009619,MONDO,False,already_mondo
EFO:1001904,,EFO,False,unmapped
EFO:1001942,MONDO:0002806,EFO,True,mapped
MONDO:0024280,MONDO:0024280,MONDO,False,already_mondo
MONDO:0011661,MONDO:0011661,MONDO,False,already_mondo
Orphanet:79311,MONDO:0009614,Orphanet,True,mapped
HP:0001732,,HP,False,skipped_prefix
EFO:0000712,MONDO:0005098,EFO,True,mapped
EFO:0007834,,EFO,False,unmapped
MONDO:0001999,MONDO:0001999,MONDO,False,already_mondo
EFO:1001517,MONDO:0000494,EFO,True,mapped
EFO:0003894,MONDO:0011438,EFO,True,mapped
EFO:0009594,,EFO,False,unmapped
EFO:1002050,MONDO:0001166,EFO,True,mapped
MONDO:0014439,MONDO:0014439,MONDO,False,already_mondo
Orphanet:1368,MONDO:0008928,Orphanet,True,mapped
OBA:VT0000047,,OBA,False,skipped_prefix
MONDO:0007540,MONDO:0007540,MONDO,False,already_mondo
EFO:1001326,,EFO,False,unmapped
EFO:0005246,MONDO:0005466,EFO,True,mapped
EFO:1000229,MONDO:0006189,EFO,True,mapped
MONDO:0021512,MONDO:0021512,MONDO,False,already_mondo
OBA:VT0000217,,OBA,False,skipped_prefix
MONDO:0002331,MONDO:0002331,MONDO,False,already_mondo
Orphanet:101075,MONDO:0010549,Orphanet,True,mapped
EFO:1001836,,EFO,False,unmapped
MONDO:0011414,MONDO:0011414,MONDO,False,already_mondo
MONDO:0030531,MONDO:0030531,MONDO,False,already_mondo
EFO:0003882,MONDO:0005298,EFO,True,mapped
MONDO:0018604,MONDO:0018604,MONDO,False,already_mondo
EFO:0000734,MONDO:0020696,EFO,True,mapped
EFO:0005547,MONDO:0005502,EFO,True,mapped
MONDO:0009426,MONDO:0009426,MONDO,False,already_mondo
MONDO:0018906,MONDO:0018906,MONDO,False,already_mondo
EFO:0003839,MONDO:0005283,EFO,True,mapped
MONDO:0018088,MONDO:0018088,MONDO,False,already_mondo
EFO:0002687,MONDO:0005203,EFO,True,mapped
EFO:1001451,MONDO:0010730,EFO,True,mapped
EFO:0000389,MONDO:0005012,EFO,True,mapped
EFO:1001047,MONDO:0006858,EFO,True,mapped
EFO:1000809,MONDO:0006649,EFO,True,mapped
OBA:VT0015043,,OBA,False,skipped_prefix
EFO:0005803,MONDO:0005570,EFO,True,mapped
MONDO:0008231,MONDO:0008231,MONDO,False,already_mondo
EFO:0004340,,EFO,False,unmapped
EFO:0005717,MONDO:0018161,EFO,True,mapped
MONDO:0100114,MONDO:0100114,MONDO,False,already_mondo
