id,prefix,previous_name,label,label_source,label_ontology,obsolete_term,matched,current_category,suggested_category
MONDO:0014439,MONDO,MONDO:0014439,Bardet-Biedl syndrome 11,mondo_release,mondo,,True,biolink:Disease,
MONDO:0008928,MONDO,Orphanet:1368,cataract-ataxia-deafness syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0007540,MONDO,MONDO:0007540,multiple endocrine neoplasia type 1,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005466,MONDO,EFO:0005246,hypersomnia,mondo_release,mondo,,True,biolink:Disease,
MONDO:0006189,MONDO,EFO:1000229,eccrine porocarcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0021512,MONDO,MONDO:0021512,benign neoplasm of thymus,mondo_release,mondo,,True,biolink:Disease,
MONDO:0002331,MONDO,MONDO:0002331,nephrosis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0010549,MONDO,Orphanet:101075,Charcot-Marie-Tooth disease X-linked dominant 1,mondo_release,mondo,,True,biolink:Disease,
MONDO:0011414,MONDO,MONDO:0011414,Peters anomaly,mondo_release,mondo,,True,biolink:Disease,
MONDO:0030531,MONDO,MONDO:0030531,spermatogenic failure 65,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005298,MONDO,EFO:0003882,osteoporosis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0018604,MONDO,MONDO:0018604,familial colorectal cancer type X,mondo_release,mondo,,True,biolink:Disease,
MONDO:0020696,MONDO,EFO:0000734,vitamin B12 deficiency,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005502,MONDO,EFO:0005547,dengue disease,mondo_release,mondo,,True,biolink:Disease,
MONDO:0009426,MONDO,MONDO:0009426,hypoparathyroidism-retardation-dysmorphism syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0018906,MONDO,MONDO:0018906,follicular lymphoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005283,MONDO,EFO:0003839,retinal disorder,mondo_release,mondo,,True,biolink:Disease,
MONDO:0018088,MONDO,MONDO:0018088,familial Mediterranean fever,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005203,MONDO,EFO:0002687,ischemia reperfusion injury,mondo_release,mondo,,True,biolink:Disease,
MONDO:0010730,MONDO,EFO:1001451,"combined immunodeficiency, X-linked",mondo_release,mondo,,True,biolink:Disease,
MONDO:0005012,MONDO,EFO:0000389,cutaneous melanoma,mondo_release,mondo,,True,biolink:Disease,
