curie	label	ontology	obsolete	iri	status
EFO:0009708	metastasis	efo	false	http://www.ebi.ac.uk/efo/EFO_0009708	ok
EFO:0009756	autoimmune type 1 diabetes	efo	false	http://www.ebi.ac.uk/efo/EFO_0009756	ok
EFO:0009765	alanine measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0009765	ok
EFO:0009783	carotid atherosclerosis	efo	false	http://www.ebi.ac.uk/efo/EFO_0009783	ok
EFO:0009805	whole body water mass	efo	false	http://www.ebi.ac.uk/efo/EFO_0009805	ok
EFO:0009842	respiratory depression	efo	false	http://www.ebi.ac.uk/efo/EFO_0009842	ok
EFO:0009860	chromosomal aberration frequency	efo	false	http://www.ebi.ac.uk/efo/EFO_0009860	ok
EFO:0009885	frailty measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0009885	ok
EFO:0009946	low density lipoprotein triglyceride measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0009946	ok
EFO:0009964	bipolar II disorder	efo	false	http://www.ebi.ac.uk/efo/EFO_0009964	ok
EFO:0010134	kidney transplant	efo	false	http://www.ebi.ac.uk/efo/EFO_0010134	ok
EFO:0010266	Charcot-Marie-Tooth disease type 1G	efo	false	http://www.ebi.ac.uk/efo/EFO_0010266	ok
EFO:0010270	Menstrual disorder	efo	false	http://www.ebi.ac.uk/efo/EFO_0010270	ok
EFO:0010351	cholesteryl ester measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0010351	ok
EFO:0010369	lysophosphatidylethanolamine 18:2 measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0010369	ok
EFO:0010623	tissue factor measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0010623	ok
EFO:0010681	ileostomy	efo	false	http://www.ebi.ac.uk/efo/EFO_0010681	ok
EFO:0010702	opioid use disorder	efo	false	http://www.ebi.ac.uk/efo/EFO_0010702	ok
EFO:0010922	P-selectin glycoprotein ligand 1 measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0010922	ok
EFO:0010925	protein S100-A12 measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0010925	ok
EFO:0010968	phosphate measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0010968	ok
EFO:0011011	sitting height measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0011011	ok
EFO:0011052	hepatotoxicity	efo	false	http://www.ebi.ac.uk/efo/EFO_0011052	ok
EFO:0011057	neurotoxicity	efo	false	http://www.ebi.ac.uk/efo/EFO_0011057	ok
EFO:0020685	protein nov homolog measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0020685	ok
EFO:0020865	aortic measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0020865	ok
EFO:0020921	hemorrhagic stroke	efo	false	http://www.ebi.ac.uk/efo/EFO_0020921	ok
EFO:0021897	apolipoprotein B to apolipoprotein A1 ratio	efo	false	http://www.ebi.ac.uk/efo/EFO_0021897	ok
EFO:0021900	cholesterol in large HDL measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0021900	ok
EFO:0021901	cholesterol in large LDL measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0021901	ok
EFO:0022008	polyUbiquitin K63-linked measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0022008	ok
EFO:0022145	triglycerides in small VLDL measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0022145	ok
EFO:0022148	total lipids in small VLDL	efo	false	http://www.ebi.ac.uk/efo/EFO_0022148	ok
EFO:0022154	phospholipids in medium VLDL measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0022154	ok
EFO:0022157	free cholesterol in large HDL measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0022157	ok
EFO:0022159	cholesteryl esters in large HDL measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0022159	ok
EFO:0022160	concentration of large LDL particles measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0022160	ok
EFO:0022173	concentration of large VLDL particles measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0022173	ok
EFO:0022233	cholesterol to total lipids in IDL percentage	efo	false	http://www.ebi.ac.uk/efo/EFO_0022233	ok
EFO:0022236	cholesterol to total lipids in large VLDL percentage	efo	false	http://www.ebi.ac.uk/efo/EFO_0022236	ok
EFO:0022237	cholesterol to total lipids in medium HDL percentage	efo	false	http://www.ebi.ac.uk/efo/EFO_0022237	ok
EFO:0022238	cholesterol to total lipids in medium LDL percentage	efo	false	http://www.ebi.ac.uk/efo/EFO_0022238	ok
EFO:0022254	cholesteryl esters to total lipids in small HDL percentage	efo	false	http://www.ebi.ac.uk/efo/EFO_0022254	ok
EFO:0022258	cholesteryl esters to total lipids in very large VLDL percentage	efo	false	http://www.ebi.ac.uk/efo/EFO_0022258	ok
EFO:0022265	free cholesterol in large VLDL measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0022265	ok
EFO:0022267	free cholesterol in medium HDL measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0022267	ok
EFO:0022280	free cholesterol to total lipids in large LDL percentage	efo	false	http://www.ebi.ac.uk/efo/EFO_0022280	ok
EFO:0022293	phospholipids in HDL measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0022293	ok
EFO:0022296	phospholipids in small HDL measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0022296	ok
EFO:0022317	triglycerides in HDL measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0022317	ok
